ESTU_GENERO,ESTU_DEPTO_RESIDE,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,ESTU_HORASSEMANATRABAJA,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,COLE_JORNADA,COLE_GENERO,COLE_NATURALEZA,COLE_CARACTER,COLE_AREA_UBICACION,PUNT_MATEMATICAS,PUNT_INGLES,PUNT_C_NATURALES,PUNT_LECTURA_CRITICA,PUNT_SOCIALES_CIUDADANAS,PUNT_GLOBAL
F,TOLIMA,Primaria incompleta,Secundaria (Bachillerato) incompleta,Estrato 2,3 a 4,No,No,0 A 10 LIBROS,Menos de 10 horas,3 a 5 veces por semana,1 o 2 veces por semana,SABATINA,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,37.0,35.0,35.0,36.0,36.0,180.0
F,TOLIMA,Primaria incompleta,Primaria incompleta,Estrato 1,3 a 4,No,No,0 A 10 LIBROS,Más de 30 horas,1 o 2 veces por semana,1 o 2 veces por semana,SABATINA,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,44.0,31.0,33.0,49.0,41.0,205.0
F,TOLIMA,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,0,3 a 5 veces por semana,3 a 5 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,70.0,48.0,66.0,70.0,66.0,332.0
F,MAGDALENA,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Estrato 6,5 a 6,No,No,0 A 10 LIBROS,Menos de 10 horas,Todos o casi todos los días,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,35.0,40.0,32.0,37.0,29.0,169.0
M,MAGDALENA,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,5 a 6,Si,No,0 A 10 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,37.0,34.0,43.0,35.0,31.0,182.0
M,MAGDALENA,Secundaria (Bachillerato) completa,Educación profesional completa,Estrato 3,3 a 4,Si,Si,0 A 10 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,COMPLETA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,36.0,40.0,43.0,44.0,44.0,208.0
M,VALLE,Secundaria (Bachillerato) incompleta,Educación profesional completa,Estrato 4,5 a 6,Si,No,11 A 25 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,36.0,35.0,40.0,44.0,32.0,189.0
F,VALLE,Técnica o tecnológica completa,Técnica o tecnológica completa,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,Más de 30 horas,1 o 2 veces por semana,1 o 2 veces por semana,MAÑANA,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,45.0,51.0,53.0,51.0,52.0,252.0
F,TOLIMA,Primaria completa,Primaria completa,Estrato 1,3 a 4,No,No,0 A 10 LIBROS,0,1 o 2 veces por semana,3 a 5 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,44.0,32.0,42.0,45.0,39.0,208.0
M,TOLIMA,Primaria incompleta,Educación profesional completa,Estrato 2,5 a 6,No,No,0 A 10 LIBROS,0,3 a 5 veces por semana,Todos o casi todos los días,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,33.0,39.0,33.0,50.0,45.0,201.0
F,TOLIMA,Primaria incompleta,Primaria incompleta,Estrato 1,3 a 4,No,No,0 A 10 LIBROS,0,1 o 2 veces por semana,3 a 5 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,45.0,43.0,40.0,49.0,34.0,210.0
F,TOLIMA,Primaria incompleta,Educación profesional completa,Estrato 2,1 a 2,Si,No,11 A 25 LIBROS,Entre 11 y 20 horas,1 o 2 veces por semana,Todos o casi todos los días,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,53.0,44.0,45.0,59.0,50.0,256.0
M,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,5 a 6,Si,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,Todos o casi todos los días,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,41.0,38.0,40.0,38.0,36.0,193.0
F,VALLE,Primaria completa,Técnica o tecnológica completa,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,1 o 2 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,43.0,52.0,49.0,56.0,50.0,248.0
M,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,5 a 6,Si,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,Todos o casi todos los días,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,48.0,39.0,53.0,56.0,48.0,252.0
F,MAGDALENA,Ninguno,Secundaria (Bachillerato) incompleta,Estrato 2,1 a 2,Si,No,11 A 25 LIBROS,Entre 11 y 20 horas,1 o 2 veces por semana,1 o 2 veces por semana,NOCHE,MIXTO,OFICIAL,ACADÉMICO,RURAL,28.0,28.0,39.0,41.0,39.0,180.0
F,MAGDALENA,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,7 a 8,Si,No,0 A 10 LIBROS,Entre 11 y 20 horas,1 o 2 veces por semana,Todos o casi todos los días,NOCHE,MIXTO,OFICIAL,ACADÉMICO,RURAL,42.0,37.0,39.0,34.0,24.0,175.0
F,VALLE,No Aplica,Técnica o tecnológica completa,Estrato 3,3 a 4,Si,No,0 A 10 LIBROS,0,3 a 5 veces por semana,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,URBANO,52.0,55.0,56.0,61.0,60.0,285.0
M,VALLE,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,Si,11 A 25 LIBROS,0,1 o 2 veces por semana,1 o 2 veces por semana,TARDE,MIXTO,OFICIAL,ACADÉMICO,URBANO,67.0,69.0,54.0,57.0,59.0,300.0
M,VALLE,No sabe,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,No,11 A 25 LIBROS,Menos de 10 horas,3 a 5 veces por semana,1 o 2 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,45.0,57.0,56.0,55.0,51.0,261.0
F,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,5 a 6,Si,No,0 A 10 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,SABATINA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,33.0,37.0,36.0,42.0,45.0,194.0
F,VALLE,Secundaria (Bachillerato) incompleta,Educación profesional completa,Estrato 3,1 a 2,No,No,11 A 25 LIBROS,0,Todos o casi todos los días,Todos o casi todos los días,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,61.0,79.0,66.0,65.0,69.0,332.0
M,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 1,5 a 6,No,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,3 a 5 veces por semana,SABATINA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,33.0,30.0,43.0,40.0,42.0,194.0
M,TOLIMA,Técnica o tecnológica completa,Técnica o tecnológica completa,Estrato 1,3 a 4,No,No,0 A 10 LIBROS,Menos de 10 horas,Nunca o rara vez comemos eso,1 o 2 veces por semana,MAÑANA,MIXTO,NO OFICIAL,TÉCNICO/ACADÉMICO,URBANO,53.0,63.0,48.0,51.0,54.0,262.0
F,TOLIMA,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 3,3 a 4,Si,No,11 A 25 LIBROS,0,3 a 5 veces por semana,3 a 5 veces por semana,MAÑANA,MIXTO,NO OFICIAL,TÉCNICO/ACADÉMICO,URBANO,46.0,59.0,51.0,58.0,36.0,243.0
M,VALLE,Primaria incompleta,Primaria incompleta,Estrato 2,3 a 4,Si,No,26 A 100 LIBROS,0,Todos o casi todos los días,3 a 5 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,41.0,35.0,42.0,42.0,38.0,202.0
M,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,9 o más,Si,Si,0 A 10 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,NO OFICIAL,TÉCNICO/ACADÉMICO,URBANO,49.0,45.0,35.0,57.0,33.0,218.0
M,TOLIMA,No sabe,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,No,26 A 100 LIBROS,0,Todos o casi todos los días,Todos o casi todos los días,MAÑANA,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,74.0,78.0,64.0,61.0,58.0,327.0
F,TOLIMA,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Estrato 2,3 a 4,No,No,0 A 10 LIBROS,Entre 11 y 20 horas,1 o 2 veces por semana,1 o 2 veces por semana,MAÑANA,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,25.0,37.0,46.0,51.0,46.0,208.0
M,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,Si,26 A 100 LIBROS,Menos de 10 horas,Nunca o rara vez comemos eso,1 o 2 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO,RURAL,53.0,53.0,49.0,49.0,49.0,251.0
M,VALLE,No sabe,Educación profesional completa,Estrato 2,5 a 6,No,No,11 A 25 LIBROS,Menos de 10 horas,3 a 5 veces por semana,Todos o casi todos los días,TARDE,MIXTO,NO OFICIAL,TÉCNICO/ACADÉMICO,URBANO,66.0,57.0,66.0,69.0,64.0,328.0
F,TOLIMA,Primaria incompleta,Técnica o tecnológica completa,Estrato 5,3 a 4,Si,No,11 A 25 LIBROS,0,3 a 5 veces por semana,1 o 2 veces por semana,MAÑANA,MIXTO,NO OFICIAL,TÉCNICO/ACADÉMICO,URBANO,23.0,36.0,34.0,39.0,31.0,160.0
M,VALLE,Educación profesional completa,Educación profesional completa,Estrato 2,3 a 4,Si,Si,11 A 25 LIBROS,0,Todos o casi todos los días,Todos o casi todos los días,MAÑANA,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,68.0,60.0,62.0,69.0,56.0,317.0
F,VALLE,Secundaria (Bachillerato) completa,Primaria incompleta,Estrato 1,5 a 6,Si,No,11 A 25 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,61.0,53.0,59.0,59.0,56.0,292.0
M,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,Si,11 A 25 LIBROS,0,Nunca o rara vez comemos eso,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,60.0,61.0,63.0,54.0,53.0,289.0
M,TOLIMA,Educación profesional incompleta,Educación profesional completa,Estrato 4,3 a 4,Si,No,11 A 25 LIBROS,0,3 a 5 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,URBANO,71.0,64.0,60.0,58.0,60.0,312.0
M,TOLIMA,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,Estrato 1,3 a 4,Si,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,URBANO,63.0,50.0,60.0,57.0,57.0,293.0
F,MAGDALENA,Ninguno,Primaria completa,Estrato 5,5 a 6,No,No,11 A 25 LIBROS,0,1 o 2 veces por semana,Nunca o rara vez comemos eso,NOCHE,MIXTO,OFICIAL,ACADÉMICO,URBANO,34.0,32.0,35.0,32.0,27.0,160.0
F,MAGDALENA,Primaria incompleta,Primaria incompleta,Estrato 2,7 a 8,Si,No,11 A 25 LIBROS,0,1 o 2 veces por semana,1 o 2 veces por semana,NOCHE,MIXTO,OFICIAL,ACADÉMICO,URBANO,39.0,31.0,39.0,43.0,37.0,194.0
F,VALLE,Educación profesional incompleta,Secundaria (Bachillerato) completa,Estrato 3,3 a 4,Si,No,0 A 10 LIBROS,0,Todos o casi todos los días,3 a 5 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,54.0,65.0,55.0,63.0,55.0,287.0
M,VALLE,Secundaria (Bachillerato) completa,Técnica o tecnológica incompleta,Sin Estrato,5 a 6,No,No,0 A 10 LIBROS,Entre 11 y 20 horas,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,RURAL,36.0,41.0,41.0,31.0,28.0,173.0
F,VALLE,Educación profesional completa,Secundaria (Bachillerato) incompleta,Estrato 2,5 a 6,Si,No,11 A 25 LIBROS,0,1 o 2 veces por semana,1 o 2 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,53.0,51.0,56.0,60.0,62.0,286.0
M,VALLE,Secundaria (Bachillerato) completa,Técnica o tecnológica completa,Estrato 2,5 a 6,Si,Si,11 A 25 LIBROS,0,3 a 5 veces por semana,Todos o casi todos los días,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,52.0,35.0,41.0,47.0,43.0,225.0
F,VALLE,Secundaria (Bachillerato) completa,Educación profesional completa,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,1 o 2 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,54.0,55.0,52.0,70.0,66.0,300.0
M,MAGDALENA,No sabe,Primaria completa,Estrato 2,5 a 6,Si,No,26 A 100 LIBROS,Menos de 10 horas,Todos o casi todos los días,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,65.0,71.0,71.0,72.0,65.0,342.0
F,MAGDALENA,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Estrato 4,7 a 8,No,No,0 A 10 LIBROS,0,3 a 5 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,37.0,35.0,31.0,36.0,33.0,172.0
F,VALLE,Primaria completa,Primaria completa,Estrato 3,3 a 4,Si,No,0 A 10 LIBROS,Menos de 10 horas,Nunca o rara vez comemos eso,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,34.0,50.0,43.0,57.0,45.0,226.0
F,VALLE,Secundaria (Bachillerato) completa,Técnica o tecnológica completa,Estrato 3,3 a 4,Si,No,26 A 100 LIBROS,0,1 o 2 veces por semana,1 o 2 veces por semana,TARDE,MIXTO,OFICIAL,TÉCNICO,URBANO,60.0,55.0,52.0,67.0,63.0,300.0
M,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 3,5 a 6,Si,No,26 A 100 LIBROS,0,Todos o casi todos los días,3 a 5 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,29.0,48.0,41.0,51.0,48.0,213.0
F,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 4,3 a 4,Si,No,11 A 25 LIBROS,0,Todos o casi todos los días,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,49.0,54.0,48.0,42.0,38.0,225.0
M,VALLE,Técnica o tecnológica completa,Secundaria (Bachillerato) incompleta,Estrato 3,3 a 4,Si,No,26 A 100 LIBROS,0,3 a 5 veces por semana,3 a 5 veces por semana,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,URBANO,70.0,74.0,74.0,69.0,73.0,358.0
F,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 3,3 a 4,Si,No,11 A 25 LIBROS,0,Todos o casi todos los días,Todos o casi todos los días,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,58.0,54.0,60.0,67.0,64.0,308.0
M,VALLE,Educación profesional completa,Secundaria (Bachillerato) completa,Estrato 2,1 a 2,Si,No,0 A 10 LIBROS,0,3 a 5 veces por semana,Todos o casi todos los días,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,63.0,66.0,64.0,64.0,59.0,314.0
M,VALLE,Secundaria (Bachillerato) completa,Educación profesional completa,Estrato 3,3 a 4,Si,No,11 A 25 LIBROS,0,Todos o casi todos los días,Todos o casi todos los días,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,60.0,75.0,66.0,70.0,62.0,327.0
M,VALLE,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,Estrato 1,5 a 6,No,No,11 A 25 LIBROS,Menos de 10 horas,1 o 2 veces por semana,3 a 5 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,52.0,52.0,52.0,58.0,51.0,266.0
M,TOLIMA,Primaria incompleta,Primaria incompleta,Estrato 2,3 a 4,No,Si,11 A 25 LIBROS,Más de 30 horas,1 o 2 veces por semana,Todos o casi todos los días,SABATINA,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,32.0,38.0,45.0,38.0,37.0,190.0
F,TOLIMA,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Estrato 2,3 a 4,No,No,0 A 10 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,UNICA,MIXTO,OFICIAL,ACADÉMICO,RURAL,58.0,55.0,61.0,58.0,58.0,292.0
M,TOLIMA,Primaria incompleta,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,No,Si,0 A 10 LIBROS,Menos de 10 horas,3 a 5 veces por semana,3 a 5 veces por semana,UNICA,MIXTO,OFICIAL,ACADÉMICO,RURAL,50.0,41.0,44.0,44.0,36.0,217.0
F,TOLIMA,Primaria incompleta,Primaria incompleta,Estrato 1,5 a 6,No,No,11 A 25 LIBROS,Menos de 10 horas,Nunca o rara vez comemos eso,1 o 2 veces por semana,COMPLETA,MIXTO,OFICIAL,ACADÉMICO,RURAL,47.0,48.0,49.0,57.0,52.0,255.0
M,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,63.0,54.0,63.0,66.0,65.0,317.0
F,VALLE,No Aplica,Secundaria (Bachillerato) incompleta,Estrato 2,1 a 2,No,No,0 A 10 LIBROS,0,Nunca o rara vez comemos eso,Nunca o rara vez comemos eso,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,58.0,59.0,54.0,62.0,43.0,273.0
M,TOLIMA,Postgrado,Postgrado,Estrato 3,3 a 4,Si,Si,26 A 100 LIBROS,0,Todos o casi todos los días,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO,URBANO,77.0,100.0,67.0,78.0,72.0,378.0
F,VALLE,Educación profesional completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,No,11 A 25 LIBROS,0,1 o 2 veces por semana,3 a 5 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO,URBANO,61.0,55.0,58.0,58.0,57.0,291.0
F,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,No,26 A 100 LIBROS,0,1 o 2 veces por semana,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO,URBANO,52.0,58.0,59.0,56.0,43.0,265.0
F,TOLIMA,Primaria incompleta,Primaria completa,Estrato 1,9 o más,No,No,0 A 10 LIBROS,0,1 o 2 veces por semana,1 o 2 veces por semana,TARDE,MIXTO,OFICIAL,ACADÉMICO,RURAL,57.0,39.0,56.0,60.0,53.0,276.0
F,VALLE,Secundaria (Bachillerato) completa,Técnica o tecnológica completa,Estrato 2,5 a 6,Si,Si,0 A 10 LIBROS,0,3 a 5 veces por semana,3 a 5 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO,URBANO,52.0,61.0,60.0,66.0,66.0,305.0
F,VALLE,Educación profesional completa,Educación profesional completa,Estrato 1,5 a 6,Si,No,0 A 10 LIBROS,0,Nunca o rara vez comemos eso,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,57.0,52.0,55.0,69.0,61.0,299.0
M,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,Estrato 2,3 a 4,Si,Si,0 A 10 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,43.0,48.0,45.0,51.0,40.0,225.0
F,MAGDALENA,Secundaria (Bachillerato) completa,Técnica o tecnológica completa,Estrato 2,5 a 6,Si,No,11 A 25 LIBROS,0,Todos o casi todos los días,Todos o casi todos los días,TARDE,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,37.0,39.0,49.0,55.0,44.0,228.0
F,MAGDALENA,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Estrato 2,1 a 2,Si,No,0 A 10 LIBROS,0,Nunca o rara vez comemos eso,1 o 2 veces por semana,TARDE,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,53.0,56.0,50.0,59.0,52.0,268.0
M,BOLIVAR,Primaria completa,Primaria incompleta,Estrato 1,7 a 8,Si,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,Todos o casi todos los días,SABATINA,MIXTO,OFICIAL,ACADÉMICO,RURAL,25.0,33.0,41.0,38.0,40.0,179.0
M,MAGDALENA,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,9 o más,No,No,11 A 25 LIBROS,Entre 11 y 20 horas,Nunca o rara vez comemos eso,1 o 2 veces por semana,TARDE,MIXTO,OFICIAL,ACADÉMICO,URBANO,39.0,34.0,38.0,37.0,29.0,178.0
F,MAGDALENA,Educación profesional completa,Educación profesional completa,Estrato 4,3 a 4,Si,No,MÁS DE 100 LIBROS,0,3 a 5 veces por semana,Todos o casi todos los días,COMPLETA,FEMENINO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,62.0,63.0,62.0,63.0,61.0,310.0
F,VALLE,Primaria incompleta,Técnica o tecnológica incompleta,Estrato 2,5 a 6,Si,No,0 A 10 LIBROS,0,Nunca o rara vez comemos eso,3 a 5 veces por semana,MAÑANA,MIXTO,OFICIAL,ACADÉMICO,URBANO,72.0,75.0,72.0,70.0,64.0,350.0
F,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 1,3 a 4,No,No,0 A 10 LIBROS,0,Nunca o rara vez comemos eso,1 o 2 veces por semana,UNICA,MIXTO,OFICIAL,TÉCNICO,RURAL,34.0,50.0,44.0,50.0,48.0,222.0
M,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 4,3 a 4,Si,No,0 A 10 LIBROS,Entre 11 y 20 horas,3 a 5 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,27.0,50.0,34.0,38.0,37.0,176.0
M,MAGDALENA,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,Estrato 1,7 a 8,Si,No,0 A 10 LIBROS,Entre 11 y 20 horas,1 o 2 veces por semana,1 o 2 veces por semana,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,34.0,42.0,45.0,37.0,30.0,185.0
F,MAGDALENA,Secundaria (Bachillerato) completa,Educación profesional completa,Estrato 1,5 a 6,Si,No,11 A 25 LIBROS,0,Todos o casi todos los días,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,54.0,57.0,49.0,55.0,64.0,278.0
F,VALLE,Secundaria (Bachillerato) incompleta,Técnica o tecnológica completa,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,Menos de 10 horas,Nunca o rara vez comemos eso,Todos o casi todos los días,UNICA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,33.0,52.0,34.0,52.0,42.0,206.0
F,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,Estrato 2,3 a 4,No,No,11 A 25 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,TARDE,MIXTO,OFICIAL,TÉCNICO,URBANO,45.0,37.0,44.0,60.0,46.0,239.0
M,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,Entre 11 y 20 horas,1 o 2 veces por semana,Todos o casi todos los días,TARDE,MIXTO,OFICIAL,TÉCNICO,URBANO,53.0,47.0,39.0,55.0,43.0,237.0
M,VALLE,Educación profesional completa,Técnica o tecnológica completa,Estrato 3,3 a 4,Si,No,11 A 25 LIBROS,0,3 a 5 veces por semana,Todos o casi todos los días,COMPLETA,MIXTO,NO OFICIAL,ACADÉMICO,URBANO,69.0,67.0,71.0,74.0,69.0,352.0
M,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO,URBANO,42.0,30.0,50.0,43.0,34.0,207.0
M,VALLE,Secundaria (Bachillerato) completa,Técnica o tecnológica completa,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,0,1 o 2 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO,URBANO,63.0,53.0,63.0,71.0,59.0,316.0
F,VALLE,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,0,3 a 5 veces por semana,Todos o casi todos los días,MAÑANA,MIXTO,OFICIAL,TÉCNICO,URBANO,63.0,57.0,65.0,65.0,58.0,312.0
M,VALLE,Secundaria (Bachillerato) completa,Técnica o tecnológica completa,Estrato 3,1 a 2,Si,No,0 A 10 LIBROS,Menos de 10 horas,Todos o casi todos los días,3 a 5 veces por semana,COMPLETA,MIXTO,NO OFICIAL,TÉCNICO,URBANO,79.0,63.0,73.0,69.0,69.0,359.0
M,VALLE,Educación profesional incompleta,Educación profesional incompleta,Estrato 3,3 a 4,Si,Si,11 A 25 LIBROS,0,Todos o casi todos los días,Todos o casi todos los días,COMPLETA,MIXTO,NO OFICIAL,TÉCNICO,URBANO,35.0,67.0,56.0,60.0,51.0,259.0
M,VALLE,Primaria completa,Primaria completa,Estrato 2,3 a 4,Si,No,0 A 10 LIBROS,Menos de 10 horas,1 o 2 veces por semana,1 o 2 veces por semana,SABATINA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,RURAL,26.0,50.0,32.0,41.0,34.0,173.0
